qname,url,type,ident,dst
Q7677156,https://www.facebook.com/takamori.yoshikawa,page,302748539831646,https://www.facebook.com/takamori.yoshikawa/
Q1478311,https://www.facebook.com/Satoshi.Arai21,page,367467493347034,https://www.facebook.com/Satoshi.Arai21/
Q11670038,https://www.facebook.com/takagi.hirohisa,page,738967849452417,https://www.facebook.com/takagi.hirohisa/
Q11671542,https://www.facebook.com/miho.takahashi.79219,profile,100002467868470,https://www.facebook.com/miho.takahashi.79219
Q11671542,https://www.facebook.com/takahashimiho.jp,page,571388386234845,https://www.facebook.com/takahashimiho.jp/
Q11519999,https://www.facebook.com/hondahiranao,page,1486819798274290,https://www.facebook.com/hondahiranao/
Q11365989,https://www.facebook.com/hiroyuki.nakamura.1466126,profile,100003603675096,https://www.facebook.com/hiroyuki.nakamura.1466126
Q41770579,https://www.facebook.com/ikedamaki.rikken/,page,1592282637477993,https://www.facebook.com/ikedamaki.rikken/
Q23907516,https://www.facebook.com/wadayoshiaki5,page,1669051303333733,https://www.facebook.com/wadayoshiaki5/
Q7677066,https://www.facebook.com/takahiro.sasaki.54966,profile,100005235033629,https://www.facebook.com/takahiro.sasaki.54966
Q11377294,https://www.facebook.com/imazuhiroshi164,page,288339354606894,https://www.facebook.com/imazuhiroshi164/
Q11379575,https://www.facebook.com/itoyoshitaka07,profile,100006119944449,https://www.facebook.com/itoyoshitaka07
Q7446737,https://www.facebook.com/Seiji.Ohsaka,profile,1817122190,https://www.facebook.com/Seiji.Ohsaka
Q7446737,https://www.facebook.com/ohsakaseiji,page,314459415363796,https://www.facebook.com/ohsakaseiji/
Q11397382,https://www.facebook.com/kazuo.maeda.334,profile,100001855064727,https://www.facebook.com/kazuo.maeda.334
Q11467842,https://www.facebook.com/tatumaru1979,page,747336782015667,https://www.facebook.com/tatumaru1979/
Q1131407,https://www.facebook.com/jimusyo.horiimanabu,profile,100006558340528,https://www.facebook.com/jimusyo.horiimanabu
Q11596723,https://www.facebook.com/inatsu.komei,page,719427354913696,https://www.facebook.com/inatsu.komei/
Q11596723,https://www.facebook.com/inatsu.news,page,323353831093214,https://www.facebook.com/inatsu.news/
Q41768440,https://www.facebook.com/kaori.ishikawa.tokachi/,page,132496580722428,https://www.facebook.com/kaori.ishikawa.tokachi/
Q1655755,https://www.facebook.com/nakagawa.office,page,356900077667489,https://www.facebook.com/nakagawa.office/
Q41770566,https://www.facebook.com/makoto.sugawara.33,profile,100002759443913,https://www.facebook.com/makoto.sugawara.33
Q41770567,https://www.facebook.com/mizukami.mika12,page,242969952551966,https://www.facebook.com/mizukami.mika12/
Q11546586,https://www.facebook.com/takebearata,profile,100000608736366,https://www.facebook.com/takebearata
Q11556075,https://www.facebook.com/jun.tsushima.5,profile,100003897675485,https://www.facebook.com/jun.tsushima.5
Q41770587,https://www.facebook.com/kudotakeshi2017,page,173652916544091,https://www.facebook.com/kudotakeshi2017/
Q49998,https://www.facebook.com/tadamori.oshima,profile,100006096393452,https://www.facebook.com/tadamori.oshima
Q41770570,https://www.facebook.com/michishitadaiki/,page,597082350468810,https://www.facebook.com/michishitadaiki/
Q11614128,https://www.facebook.com/funahashi.toshimitsu,page,1494715834106324,https://www.facebook.com/funahashi.toshimitsu/
Q41770571,https://www.facebook.com/kanakuramasatoshi,profile,100002202157474,https://www.facebook.com/kanakuramasatoshi
Q6389412,https://www.facebook.com/松木けんこう-870688479616480,page,870688479616480,https://www.facebook.com/%C3%A6%C2%9D%C2%BE%C3%A6%C2%9C%C2%A8%C3%A3%C2%81%C2%91%C3%A3%C2%82%C2%93%C3%A3%C2%81%C2%93%C3%A3%C2%81%C2%86-870688479616480/
Q41770572,https://www.facebook.com/yasufumi.kowada,profile,100004982832835,https://www.facebook.com/yasufumi.kowada
Q41770577,https://www.facebook.com/yoshinori.moriyama.7509,profile,100003736585340,https://www.facebook.com/yoshinori.moriyama.7509
Q41770583,https://www.facebook.com/profile.php?id=100008887746844,profile,100008887746844,https://www.facebook.com/profile.php?id=100008887746844
Q1655755,https://www.facebook.com/yuko.nakagawa.355,profile,100003535547262,https://www.facebook.com/yuko.nakagawa.355
Q41770589,https://www.facebook.com/profile.php?id=100016054359692,profile,100016054359692,https://www.facebook.com/profile.php?id=100016054359692
Q41770590,https://www.facebook.com/mikuniyuki392,profile,100011203660602,https://www.facebook.com/mikuniyuki392
Q41770594,https://www.facebook.com/jiro.kimura.923,profile,100006705758217,https://www.facebook.com/jiro.kimura.923
Q41770594,https://www.facebook.com/%E6%9C%A8%E6%9D%91%E6%AC%A1%E9%83%8E-496412380692421/,page,496412380692421,https://www.facebook.com/Jiro.Kimura.Supporters.Association/
Q41770595,https://www.facebook.com/kyoko.yosida.jcp.iwate,page,339884306436021,https://www.facebook.com/kyoko.yosida.jcp.iwate/
Q49875,https://www.facebook.com/takeshi.shina,profile,100002086142679,https://www.facebook.com/takeshi.shina
Q11671375,https://www.facebook.com/TakahashiHinako/,page,254799327987840,https://www.facebook.com/TakahashiHinako/
Q11578483,https://www.facebook.com/koji.hata.754,profile,100004661282351,https://www.facebook.com/koji.hata.754
Q3482658,https://www.facebook.com/people/%E9%88%B4%E6%9C%A8%E4%BF%8A%E4%B8%80/100016937237040,profile,100016937237040,https://www.facebook.com/profile.php?id=100016937237040
Q11623218,https://www.facebook.com/profile.php?id=100004477178223,profile,100004477178223,https://www.facebook.com/profile.php?id=100004477178223
