解説→,https://hackmd.io/OwFgxgnBBmCMsFoBMATaBWBIkEMUKgA5EAGCFAUwDYwkR0SBmdIA,,,,,,,,,※データ整備の優先度が高そうな項目順にオレンジ→黄色となっています。グレーのセルはwikidataに登録済みであることを表しますが、後日用なので気にしないでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新予定と実績,,,Wikidataの更新、登録（現時点ではいったん作業停止）,,
進捗率(完了日をカウント)→,18.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wikidata ID,name,,,,name in hiragana,party short name,,,,current position,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),,candidacy in election,elected in,gender,birthday,age(calculated),,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,,,,
UI用DBカラム名,name_full,name_last,name_first,name_alias,name_full_furigana,pary_id,,party_history,,,pref_code,senkyoku_no,,,submission_order,candidacy_history,,gender,birth_day,,birth_year,twitter_id,facebook_id,facebook_page_id,line_id,youtube_channel_id,instagram_id,offiicial_website_url,email,official_blog_url,reference_url,birth_place,educational_background,,occupation,position_held,father,spouse,,url_wikidata,url_wikipedia,,,,,,
wikdiata_concept,label,,,alias,P1814,Q7278,,,,,Q646425,,Q13365595,Q1052894,,P3602,P2715,P21,P569,,,P2002,P2013,P4003,P554-P553,P2397,,P856,P968,P1581,P973,P19,P69,P69,P106,P39,P22,P26,,,,,,,,,
wikidata,名前（フル）,名前（姓）,名前（名）,選挙用表記名/別名,かな,公認政党,推薦政党,以前の政党,立候補,前回,都道府県,小選挙区番号,比例区,小選挙区,届け出順,過去の立候補歴,過去の当選歴,性別,誕生日,年齢,誕生年,twitter,フェイスブックID,公式Facebookページ,LINEアカウント,youtube channel,Instagram,公式サイト,メールアドレス,公式ブログ,詳細情報URL,出生地,学歴（履歴）,学歴（最新）,職歴,公職,父親,配偶者,メモ,Wikidata URL,Wikipedia URL,担当,予定日,完了日,担当,予定日,完了日
,三和智之,三和,智之,,,共産,,,,,27,11,,大阪府 11区,,,,,,,,1975_miwa,https://www.facebook.com/tomoyuki.miwa3,,,,,,,,,,,,,,,,,,,,,,,,
,三角創太,三角,創太,,,民進,,,,,11,13,,埼玉県 13区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,上條亮一,上條,亮一,,,共産,,,,,26,6,,京都府 6区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,上田幸子,上田,幸子,,,共産,,,,,28,7,,兵庫県 7区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,上野公悦,上野,公悦,,,共産,,,,,15,6,,新潟県 6区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,上野洋嗣,上野,洋嗣,,,共産,,,,,12,2,,千葉県 2区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,下島良一,下島,良一,,,共産,,,,,23,13,,愛知県 13区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,下村雅洋,下村,雅洋,,,共産,,,,,30,2,,和歌山県 2区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中嶋康介,中嶋,康介,,,希望,,,,新,20,5,,長野県 5区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中川民英,中川,民英,,,共産,,,,,24,1,,三重県 1区,,,,男性,1967-9-16,50,1967,tamihide123456,https://www.facebook.com/tamihide.nakagawa,,,,,http://blog.goo.ne.jp/jcp-mie_nakagawa,,,,,,茨城大学大学院（農学）,,,,,,,,,,,,,
,中石仁,中石,仁,,,共産,,,,,34,4,,広島県 4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中谷一馬,中谷,一馬,,なかたに かずま,立民,,,党発表,,14,7,,神奈川県 7区,,,,,,,,,,,,,,http://kazumanakatani.com/home,,,,,,,,,,,,,,,,,,,
,中野渡旬,中野渡,旬,,,共産,,,,,14,14,,神奈川県 14区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,串田真吾,串田,真吾,,,共産,,,,,23,15,,愛知県 15区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,串田誠一,串田,誠一,くしだ誠一,,維新,,,党発表,,14,6,,神奈川県 6区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,五十嵐健彦,五十嵐,健彦,,,共産,,,,,15,4,,新潟県 4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,五島博,五島,博,,,共産,,,,,35,1,,山口県 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,井上宣,井上,宣,,,共産,,,,,13,25,,東京都 25区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,井上良子,井上,良子,,,共産,,,,,29,1,,奈良県 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,井口昌彦,井口,昌彦,,,共産,,,,,22,5,,静岡県 5区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,井桁亮,井桁,亮,,,こころ,,,,,23,5,,愛知県 5区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,今村あゆみ,今村,あゆみ,,,共産,,,,,14,6,,神奈川県 6区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,伊神健雄,伊神,健雄,,,無所属,,,,,23,10,,愛知県 10区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,佐々木克己,佐々木,克己,,,社民,,,,,14,15,,神奈川県 15区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,佐藤広典,佐藤,広典,,,民進,,,,,34,7,,広島県 7区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,佐藤泰樹,佐藤,泰樹,,,民進,,,,,28,4,,兵庫県 4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
