データの整備状況,項目名,説明
済,wikidata,候補者を一意に識別するキー。wikidataの項目番号に対応
済,名前（フル）,正式名称
済,名前（姓）,正式名称（姓）
済,名前（名）,正式名称（名）
整備中,選挙用表記名/別名,選挙用の表記等
済,かな,よみがな（姓と名を半角スペース区切り）
済,公認政党,今回の選挙における公認政党
整備中,推薦政党,今回の選挙における推薦政党
整備中,以前の政党,以前に所属していた政党
済,立候補,立候補確定者：「確定」
済,前回,新/前/元
未使用,届け出順,-
済,比例名簿順位,比例名簿順位
済,都道府県,ソート用都道府県コード。比例区は51より採番。
済,小選挙区番号,小選挙区番号
済,比例区,比例区名称
済,小選挙区,小選挙区名称
整備中,過去の立候補歴,過去の立候補歴
整備中,過去の当選歴,過去の当選歴
済,性別,男性／女性
済,誕生日,誕生日
済,年齢,年齢（計算値）
未使用,誕生年,-
整備中,写真,利用可能な写真のURL
整備中,twitter,twitterアカウント
整備中,フェイスブックID,フェイスブックID
整備中,公式Facebookページ,公式Facebookページ
整備中,LINEアカウント,LINEアカウント
整備中,youtube channel,youtube channel
整備中,Instagram,Instagram
整備中,公式サイト,公式サイト
整備中,メールアドレス,メールアドレス
整備中,公式ブログ,公式ブログ
整備中,詳細情報URL,公式サイト以外の詳細情報が掲載されているサイト
整備中,出生地,出生地
整備中,学歴（履歴）,最終学歴より前の学歴
整備中,学歴（最新）,最終学歴
整備中,職歴,職歴
整備中,公職,公職
整備中,父親,父親（公人のみ）
整備中,配偶者,配偶者（公人のみ）
不使用,メモ,作業用メモ
済,Wikidata URL,対応するwikidataページのURL
済,Wikipedia URL,対応するwikipediaページのURL
