wikdiata_concept,,label,,P1814,,P102,,P102,,,,P768(Q1052894),,P3602,,P2715,,P21,P569,,P569,P2002,P2013,P4003,P553-P554,P2397,P553-P554,P856,P968,P1581,P973,P19,P69,,,,P69,,P106,P39,,P22,,P26
wikidata,,名前（フル）,,かな,,公認政党,,以前の政党,,,,小選挙区,,過去の立候補歴,,過去の当選歴,,性別,誕生日,,誕生年,twitter,フェイスブックID,公式Facebookページ,LINEアカウント,youtube channel,Instagram,公式サイト,メールアドレス,公式ブログ,詳細情報URL,出生地,学歴（履歴）,,,,学歴（最新）,,職歴,公職,,父親,,配偶者
,,,,,,,,,,,,,,,得票数,,,,,,,,,,,,,,,,,,1,2,3,,,,,,P642(以下についての),,,
未登録,,石川香織,,,,,,"無所属
民進党",,,,北海道 11区,,,,,,女性,,,1984,,,,,,,,,,,,,,,,,,アナウンサー (Q1371925),,,,,石川知裕
LAST,Lja,"""石川香織""",P1814,"""いしかわ かおり""",P102,Q41532587(立憲民主党),P102,Q327591(無所属),P102,"""民進党""",P768,Q11403000(北海道第11区),,,,,P21,Q6581072(女性),,P569,"""=+1984-01-01T00:00:00Z/9""",,,,,,,,,,,,,,,,,P106,"""アナウンサー""",,,,P26,"""石川知裕"""
未登録,,菅原誠,,すがわら まこと,,共産,,,,,,北海道 12区,,,,,,男性,,,1973,sugawara_makoto,makoto.sugawara.33,,,,,,"""info@jcpkitami.jp""","""http://sugawara.jcpkitami.jp/""",,釧路市,名古屋市立桜台高等学校,,,P69,北見工業大学,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未登録,,水上美華,,みずかみ みか,,希望,,"民主
民進",,,,北海道 12区,,第47回衆議院議員選挙,62035,,,女性,1982-2-1,,,mizukamimika12,mizukami.mika12,,gfs0427u,,,www.mika-mizukami.jp,,,http://mika-mizukami.jp/profile/,北海道訓子府町,"訓子府中学校
",北見北斗高等学校,アメリカウエストバージ二ア大学政治学部休学,,小沢一郎政治塾 (Q11462350),,衆議院議員秘書,日本の地方議会議員(Q11505877),北見市 (Q265555),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜登録用生データ＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAST,Lja,"""石川香織""",P1814,"""いしかわ かおり""",P102,Q41532587,P102,Q327591,P102,"""民進党""",P768,Q11403000,P21,Q6581072,P569,"""=+1984-01-01T00:00:00Z/9""",P106,"""アナウンサー""",P26,"""石川知裕""",,,,,,,,,,,,,,,,,,,,,,,,
CREATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAST,Lja,石川香織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P102,Q41532587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P102,Q327591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P102,Q23055252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P768,Q11403000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P21,Q6581072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P569,"""+1984-01-01T00:00:00Z/9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P106,Q1371925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41768440,P26,Q1372394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAST,Lja,水上美華,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
