金倉 まさとし,かなくら 昌俊,金倉昌俊,金倉,昌俊,かなくら,まさとし,43,新,北海道,北海道2区,党北海道2区国政対策委員長、准中央委員、道副委員長,kanakuramasato,https://www.facebook.com/kanakuramasatoshi,http://www.kanakura.net/,(重複)
石川 明美,いしかわ あけみ,石川明美,石川,明美,いしかわ,あけみ,66,新,,北海道7区,党北海道7区政策委員長、釧根地区副委員長,,,http://www2.plala.or.jp/ishiishi/,小選挙区
松橋 ちはる,まつはし 千春,松橋千春,松橋,千春,まつはし,ちはる,35,新,,北海道9区,党苫小牧若者未来プロジェクトリーダー、苫小牧地区常任委員,,https://www.facebook.com/profile.php?id=100008887746844,http://ameblo.jp/matsuhashi-chiharu/,小選挙区
菅原 まこと,すがわら 誠,菅原誠,菅原,誠,すがわら,まこと,44,新,,北海道12区,党北海道12区政策委員長、北見地区委員長,sugawara_makoto,http://www.facebook.com/makoto.sugawara.33,http://sugawara.jcpkitami.jp/,小選挙区
赤平 ゆうと,あかひら 勇人,赤平勇人,赤平,勇人,あかひら,ゆうと,27,新,,青森1区,党青森1区国政対策委員長、県委員,,,,小選挙区
奥本 なおみ,おくもと 菜保巳,奥本菜保巳,奥本,菜保巳,おくもと,なおみ,57,新,,青森2区,党青森2区くらし・平和対策委員長、三沢市委員長,,,,小選挙区
高柳 ひろあき,たかやなぎ 博明,高柳博明,高柳,博明,たかやなぎ,ひろあき,47,新,,青森3区,党津軽地区副委員長、青森県常任委員,,,,小選挙区
吉田 恭子,よしだ きょうこ,吉田恭子,吉田,恭子,よしだ,きょうこ,36,新,東北,岩手1区,党岩手県常任委員、党国会議員団岩手県事務所長,kyoko_yosida,,,(重複)
吉田 ごう,よしだ 剛,吉田剛,吉田,剛,よしだ,ごう,35,新,,宮城3区,党仙南地区常任委員、宮城県委員,gogoyoshidago,https://www.facebook.com/5555yoshida/,http://yoshida-go.jugem.jp/,小選挙区
たかむら 直也,高村,たかむら 直也,,,,,34,新,,宮城4区,党宮城県常任委員・平和運動部長,,,,小選挙区
横田 有史,よこた ゆうし,横田有史,横田,有史,よこた,ゆうし,73,新,,宮城6区,党宮城県副委員長、元党宮城県議団長,,,,小選挙区
さいとう 大悟,齊藤 だいご,齊藤大悟,齊藤,大悟,さいとう,だいご,38,新,,秋田1区,党秋田県青年学生対策委員会責任者,hana_daichan,https://www.facebook.com/s.k.daigo,,小選挙区
藤本 ゆり,ふじもと 友里,藤本友里,藤本,友里,ふじもと,ゆり,38,新,,秋田2区,党秋田県青年学生対策委員,fupo_cgsm,https://www.facebook.com/yuri.fupo,,小選挙区
冨岡 あきら,とみおか 昭,冨岡昭,冨岡,昭,とみおか,あきら,67,新,,秋田3区,党秋田県書記長,,,,小選挙区
石川 渉,いしかわ しょう,石川渉,石川,渉,いしかわ,しょう,43,新,,山形1区,党山形1区国政対策委員長、村山地区常任委員,,https://www.facebook.com/shoishikawa1973/,,小選挙区
岩本 こうじ,いわもと 康嗣,岩本康嗣,岩本,康嗣,いわもと,こうじ,52,新,,山形2区,党山形2区国政対策委員長、置賜地区委員長,,,,小選挙区
加藤 太一,かとう たいち,加藤太一,加藤,太一,かとう,たいち,66,新,,山形3区,党山形3区国政対策委員長、前鶴岡市議団長,,,,小選挙区
