熊田　裕通,熊田裕通,熊田,裕通,自民,愛知県 1区,前,52,https://twitter.com/kumadahiromichi,https://www.facebook.com/kumadahiromichi/,https://www.kumada-hiromichi.com/,元防衛政務官,52歳
佐藤　夕子,佐藤夕子,佐藤,夕子,希望,愛知県 1区,新,54,,https://www.facebook.com/profile.php?id=100004048560858,,名古屋市議会議員,54歳
平山　良平,平山良平,平山,良平,社民,愛知県 1区,新,69,https://twitter.com/a1zyy1Qb0WM90qi,https://www.facebook.com/profile.php?id=100012430770284,http://h-ryouhei.jp/,元中学教諭,69歳
吉田　統彦,吉田統彦,吉田,統彦,民主,愛知県 1区,元,42,,https://www.facebook.com/profile.php?id=100006068624077&fref=ts,http://www.yoshitsune-kai.jp/,医師,42歳
酒井　健太朗,酒井健太朗,酒井,健太朗,共産,愛知県 2区,新,31,https://twitter.com/iakas_oratnek,https://www.facebook.com/kentaro.sakai.12?ref=ts&fref=ts,http://jcpweb.net/sakai/,党地区役員,31歳
田畑　毅,田畑毅,田畑,毅,自民,愛知県 2区,前,45,,https://www.facebook.com/tsuyoshi.tabata.39,http://www.tabata-tsuyoshi.jp/,元日銀行員,45歳
古川　元久,古川元久,古川,元久,希望,愛知県 2区,前,51,https://twitter.com/Fullgen,https://www.facebook.com/FurukawaMotohisa/,https://www.furukawa.cc/,元国家戦略相,51歳
池田　佳隆,池田佳隆,池田,佳隆,自民,愛知県 3区,前,51,https://twitter.com/ikeda_0620,https://www.facebook.com/yoshitaka.ikeda.902,http://ikeda-yoshitaka.jp/,元文科委理事,51歳
近藤　昭一,近藤昭一,近藤,昭一,民主,愛知県 3区,前,59,https://twitter.com/kondo_shoichi,,https://www.kon-chan.org/,党副代表,59歳
余語　冴耶香,余語冴耶香,余語,冴耶香,希望,愛知県 3区,新,39,,https://www.facebook.com/sayaka.yogo.3,https://ameblo.jp/yogosayaka/,名古屋市会議員,39歳
工藤　彰三,工藤彰三,工藤,彰三,自民,愛知県 4区,前,52,https://twitter.com/kudoshozo,https://www.facebook.com/kudoshozo/,http://www.kudoshozo.jp/,災害特委理事,52歳
牧　義夫,牧義夫,牧,義夫,希望,愛知県 4区,前,59,https://twitter.com/yoshiomaki758,https://www.facebook.com/maki.office/,http://makiyoshio.jp/,元厚労副大臣,59歳
