wikidata,name,47回衆議院総選挙 小選挙区 結果,47回衆議院総選挙 比例区 結果,補欠選・繰上,欠員,小選挙区,比例区,page_ref_age,name_ref,kana,party_ref,area,count,ref,
-,,-,-,,,,,平成29年9月26日現在,氏名,ふりがな,会派,選挙区,当選回数,,
Q467453,逢沢一郎,岡山県1区,-,,,岡山1,,,逢沢 一郎君,あいさわ いちろう,自民,岡山1,10,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/009.html,
Q11661965,青柳陽一郎,-,南関東,,,,南関東,,青柳 陽一郎君,あおやぎ よういちろう,民進,（比）南関東,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.html,
Q11661236,青山周平,-,東海,,,,東海,,青山 周平君,あおやま しゅうへい,自民,（比）東海,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.html,
Q11635735,赤枝恒雄,-,東京,,,,東京都,,赤枝 恒雄君,あかえだ つねお,自民,（比）東京都,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/012.html,
Q7385320,赤澤亮正,鳥取県2区,-,,,鳥取2,,,赤澤 亮正君,あかざわ りょうせい,自民,鳥取2,4,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.html,
Q6381788,赤羽一嘉,兵庫県2区,-,,,兵庫2,,,赤羽 一嘉君,あかば かずよし,公明,兵庫2,7,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/014.html,
Q6203082,あかま二郎,神奈川県14区,-,,,神奈川14,,,あかま 二郎君,あかま じろう,自民,神奈川14,3,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/003.html,
Q582685,赤松広隆,愛知県5区,-,,,愛知5,,,赤松 広隆君,あかまつ ひろたか,民進,愛知5,9,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/015.html,
Q7446761,赤嶺政賢,沖縄県1区,-,,,沖縄1,,,赤嶺 政賢君,あかみね せいけん,共産,沖縄1,6,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/016.html,
Q49996,秋葉賢也,宮城県2区,-,,,宮城2,,,秋葉 賢也君,あきば けんや,自民,宮城2,5,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.html,
Q7850039,秋元司,-,東京,,,,東京都,,秋元 司君,あきもと つかさ,自民,（比）東京都,2（参1）,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/018.html,
Q16263623,秋本真利,千葉県9区,-,,,千葉9,,,秋本 真利君,あきもと まさとし,自民,千葉9,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/019.html,
Q1737907,浅尾慶一郎,神奈川県4区,-,,,神奈川4,,,浅尾 慶一郎君,あさお けいいちろう,自民,神奈川4,3（参2）,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/020.html,
Q212400,安住淳,宮城県5区,-,,,宮城5,,,安住 淳君,あずみ じゅん,民進,宮城5,7,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.html,
Q132596,麻生太郎,福岡県8区,-,,,福岡8,,,麻生 太郎君,あそう たろう,自民,福岡8,12,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/021.html,
Q11637002,足立康史,-,近畿,,,,近畿,,足立 康史君,あだち やすし,維新,（比）近畿,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/007.html,
Q11597257,穴見陽一,-,九州,,,,九州,,穴見 陽一君,あなみ よういち,自民,（比）九州,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/022.html,
Q132345,安倍晋三,山口県4区,-,,,山口4,,,安倍 晋三君,あべ しんぞう,自民,山口4,8,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/006.html,
Q7827692,あべ俊子,-,中国,,,,中国,,あべ 俊子君,あべ としこ,自民,（比）中国,4,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/004.html,
Q516232,阿部知子,-,南関東,,,,南関東,,阿部 知子君,あべ ともこ,民進,（比）南関東,6,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/008.html,
Q418675,甘利明,神奈川県13区,-,,,神奈川13,,,甘利 明君,あまり あきら,自民,神奈川13,11,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/023.html,
Q1478311,荒井聰,-,北海道,,,,北海道,,荒井 聰君,あらい さとし,民進,（比）北海道,7,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/024.html,
Q11451405,安藤裕,-,近畿,,,,近畿,,安藤 裕君,あんどう ひろし,自民,（比）近畿,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/025.html,
Q18669603,池内さおり,-,東京,,,,東京都,,池内 さおり君,いけうち さおり,共産,（比）東京都,1,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/042.html,
Q11552157,池田道孝,-,中国,,,,中国,,池田 道孝君,いけだ みちたか,自民,（比）中国,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/043.html,
Q11551703,池田佳隆,-,東海,,,,東海,,池田 佳隆君,いけだ よしたか,自民,（比）東海,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/044.html,
Q11378895,伊佐進一,大阪府6区,-,,,大阪6,,,伊佐 進一君,いさ しんいち,公明,大阪6,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/034.html,
Q11373460,井坂信彦,兵庫県1区,-,,,兵庫1,,,井坂 信彦君,いさか のぶひこ,民進,兵庫1,2,https://web.archive.org/web/20170928070514/http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/026.html,
