asis,error,screen_name,verified,default_profile,has_extended_profile
031004GOGO,,031004GOGO,False,True,True
0620_appletree,,0620_appletree,False,True,False
1218fuji,,1218Fuji,False,True,False
140829haruking,,140829Haruking,False,True,True
1975_miwa,,1975_miwa,False,True,False
1984urban,,1984urban,False,False,True
1hatanorina,,1hatanorina,True,False,False
244yamaguchi,,244yamaguchi,False,True,False
2b28a3370fae4f9,,2b28a3370fae4f9,False,True,False
2fc1828ca95c4ae,,2fc1828ca95c4ae,False,True,False
310akirasato,,310akirasato,True,True,False
310kakizawa,,310kakizawa,True,False,False
3bihv3x5oh9us09,,3BIhV3X5oh9us09,False,True,True
7bzhvilogf8yhwh,,7bZHvilOGf8YHwh,False,True,True
9999suematsu,,9999suematsu,False,True,False
9_mth,,9_mth,False,True,False
AKBhyogo2ku,,AKBhyogo2ku,True,False,False
AbeShinzo,,AbeShinzo,True,False,False
AkiHatsushika,,AkiHatsushika,True,False,False
Azuma_united_FC,,Azuma_united_FC,False,False,False
DonanMaeda,,DonanMaeda,True,True,False
Dr_Kamo,,Dr_Kamo,True,True,False
ETO_Akinori,,ETO_Akinori,True,False,False
EmikoUematsu,,EmikoUematsu,False,True,False
EnatsuMasatoshi,,EnatsuMasatoshi,False,False,False
FujiiHisayuki,,FujiiHisayuki,True,False,False
Fullgen,,Fullgen,True,True,False
HamamuraSusumu,,HamamuraSusumu,True,True,False
HarachanJ,,HarachanJ,False,False,False
HasegawaKaichi,,HasegawaKaichi,True,True,False
HiranoHirofumi,,HiranoHirofumi,False,True,False
Hiro_NAKANO_,,Hiro_NAKANO_,True,False,False
HondaNobuhiro,,HondaNobuhiro,False,False,True
HosodaHiroyuki,,HosodaHiroyuki,True,True,False
HrpNagano3,,HrpNagano3,False,False,True
Inoue_9,,Inoue_9,False,False,False
IsamuUeda,,IsamuUeda,True,True,False
IshiharaNobu,,IshiharaNobu,True,False,False
IzumidaHirohiko,,IzumidaHirohiko,True,False,True
KAMIYAMA_Yosuke,,KAMIYAMA_Yosuke,True,True,False
KatsuNakajima,,KatsuNakajima,True,False,False
Kazuchika_Iwata,,Kazuchika_Iwata,True,False,False
KishiNobuo,,KishiNobuo,True,True,True
KitajoTomohiko,,KitajoTomohiko,False,False,True
KyokoNae,,KyokoNae,False,True,False
Makoto_Yosano,,Makoto_Yosano,False,False,True
Masanari_Koike,,Masanari_Koike,True,True,False
Matsumoto_7ku,,Matsumoto_7ku,False,True,False
MiyauchiHideki,,MiyauchiHideki,True,True,False
Miyazaki_kirin,,Miyazaki_kirin,True,True,True
MoriNatsue,,MoriNatsue,False,False,True
NODAYOSHI55,,NODAYOSHI55,True,True,False
NakasatoOkinawa,,NakasatoOkinawa,False,False,False
NaokazuTakemoto,,NaokazuTakemoto,True,True,False
NaotoKan,,NaotoKan,True,True,True
Noriko_Furuya,,Noriko_Furuya,True,False,False
Ogushi_Masaki,,Ogushi_Masaki,True,False,False
OjSKdc90T9HNBRa,,OjSKdc90T9HNBRa,False,True,False
OogushiHiroshi,,OogushiHiroshi,True,False,False
OzawaSakihito,,OzawaSakihito,True,True,False
RyoTagaya,,RyoTagaya,True,False,True
SakamotoFumiko,,SakamotoFumiko,False,False,False
SatoYukari,,SatoYukari,True,False,False
ShimadaKoujiMie,,ShimadaKoujiMie,True,False,False
ShiminhaEtsuko,,ShiminhaEtsuko,False,True,False
Shin1Miyakawa,,Shin1Miyakawa,False,True,False
ShintaroIto205,,ShintaroIto205,False,True,True
ShiokawaTetsuya,,ShiokawaTetsuya,True,False,False
ShioriYamao,,ShioriYamao,True,False,False
Suga_Katsumi,,Suga_Katsumi,False,False,False
TAIRAMASAAKI,,TAIRAMASAAKI,True,False,False
TAMURATAKAAKI,,TAMURATAKAAKI,True,False,True
T_Ibayashi,,T_Ibayashi,True,False,False
TakehikoBando,,TakehikoBando,False,True,True
Tanaka_Hide,,Tanaka_Hide,False,True,False
Tanaka_Ryosei,,Tanaka_Ryosei,True,True,False
TatsuoFukuda,,TatsuoFukuda,True,False,True
Team_Koito2017,,Team_Koito2017,False,True,False
Tomo_Ukishima,,Tomo_Ukishima,True,False,False
TsuchiyaMasatad,,TsuchiyaMasatad,True,False,True
Tsumura_Keisuke,,Tsumura_Keisuke,True,False,True
TyTkr,,TyTkr,False,False,True
Ueno_Kenichiro,,Ueno_Kenichiro,True,False,False
YoshikawaHajime,,YoshikawaHajime,True,False,False
YosshiiMoriyama,,YosshiiMoriyama,True,False,False
YuiTetsushi,,YuiTetsushi,False,True,True
YutaHiyoshi,,YutaHiyoshi,False,True,False
_tomikawa,,_tomikawa,False,False,False
a1zyy1qb0wm90qi,,a1zyy1Qb0WM90qi,False,True,False
