db,person,area,party,votes
codefor,Q1039717,Q7813806,Q354239,1307
codefor,Q10856313,Q11586035,Q41040535,61541
codefor,Q1131407,Q9499044,Q232595,108747
codefor,Q1132836,Q11406378,Q232595,120075
codefor,Q1133136,Q11393144,Q232595,94205
codefor,Q1133192,Q11476527,Q232595,95513
codefor,Q1133194,Q11406377,Q232595,103919
codefor,Q1133360,Q11535301,Q232595,111167
codefor,Q1133880,Q7960863,Q232595,109488
codefor,Q11353993,Q11426791,Q232595,98443
codefor,Q11355593,Q11393157,Q21499745,41331
codefor,Q11355765,Q11589213,Q41040535,66057
codefor,Q1135729,Q11663243,Q41040535,137523
codefor,Q11357294,Q11589223,Q232595,74119
codefor,Q11359720,Q11589222,Q1061354,82788
codefor,Q11361823,Q5618873,Q41040535,36167
codefor,Q11364144,Q11589225,Q232595,70819
codefor,Q11364418,Q4356088,Q327591,107007
codefor,Q11365989,Q11403007,Q232595,104054
codefor,Q11367646,Q11393159,Q1061354,94116
codefor,Q11368259,Q7105540,Q21499745,66712
codefor,Q11368828,Q11589211,Q41040535,38162
codefor,Q11373203,Q11441208,Q21499745,66506
codefor,Q11373245,Q11592614,Q232595,97777
codefor,Q11373350,Q11654365,Q41040535,127542
codefor,Q11373460,Q11393146,Q41040535,59191
codefor,Q11373555,Q10343531,Q41532587,53480
codefor,Q11373633,Q11663238,Q232595,130857
codefor,Q11373778,Q11609702,Q232595,89219
codefor,Q11376392,Q7813763,Q41040535,69442
codefor,Q11376723,Q11471576,Q41040535,92370
codefor,Q11377131,Q11484887,Q21499745,23779
codefor,Q11377132,Q11494339,Q232595,96303
codefor,Q11377294,Q11403009,Q232595,113851
codefor,Q11378895,Q11441220,Q1061354,104052
codefor,Q11379447,Q11441202,Q21499745,61859
codefor,Q11379575,Q11403010,Q232595,95200
codefor,Q11382420,Q11525655,Q41040535,29743
codefor,Q11391317,Q11494338,Q232595,96978
codefor,Q11395120,Q11595528,Q232595,79442
codefor,Q11396609,Q11525653,Q41532587,71405
codefor,Q11397382,Q9498966,Q232595,101243
codefor,Q11399159,Q6958601,Q232595,97874
codefor,Q11400147,Q11663244,Q232595,108157
codefor,Q11400194,Q11589215,Q41040535,46284
codefor,Q11400372,Q11453780,Q232595,50496
codefor,Q11409844,Q11441223,Q232595,93475
codefor,Q11411691,Q11592618,Q232595,136499
