db,qname,area
wikidata,Q11446165,Q11406390
wikidata,Q11544691,Q308891
wikidata,Q11563535,Q11547385
wikidata,Q11614128,
wikidata,Q11633044,Q11406376
wikidata,Q16769971,Q11406380
wikidata,Q21655823,Q6346640
wikidata,Q41618899,
wikidata,Q41770712,
wikidata,Q41770715,
wikidata,Q6381578,Q11406388
codefor,Q1131407,Q9499044
codefor,Q1131518,Q11547390
codefor,Q1132836,Q11406378
codefor,Q1133136,Q11393144
codefor,Q1133194,Q11406377
codefor,Q1133360,Q11535301
codefor,Q1133463,Q11484890
codefor,Q1133880,Q7960863
codefor,Q11353993,Q11426791
codefor,Q1135729,Q11663243
codefor,Q11359720,Q11589222
codefor,Q11360103,Q11547390
codefor,Q11364144,Q7570062
codefor,Q11364418,Q4356088
codefor,Q11364762,Q11484889
codefor,Q11365989,Q11403007
codefor,Q11366226,Q11547389
codefor,Q11367646,Q11393159
codefor,Q11368259,Q7105540
codefor,Q11373203,Q11441208
codefor,Q11373245,Q11592614
codefor,Q11373350,Q11654365
codefor,Q11373460,Q11393146
codefor,Q11373633,Q11663238
codefor,Q11373778,Q11609702
codefor,Q11376723,Q11547389
codefor,Q11377132,Q11494339
codefor,Q11377294,Q5878130
codefor,Q11378895,Q11441220
codefor,Q11379447,Q11547390
codefor,Q11379575,Q11403010
codefor,Q11384409,Q5878130
codefor,Q11391317,Q11547389
codefor,Q11395120,Q11595528
codefor,Q11396609,Q7814046
codefor,Q11397152,Q7814046
codefor,Q11397382,Q5878130
codefor,Q11399159,Q6958601
codefor,Q11399825,Q11547387
codefor,Q11400147,Q11547389
codefor,Q11400372,Q49913
codefor,Q11409844,Q11441223
codefor,Q11411691,Q11592618
codefor,Q11412937,Q11547385
codefor,Q11422694,Q11547385
codefor,Q11422753,Q17221683
codefor,Q11423241,Q11426789
codefor,Q11425985,Q11663245
codefor,Q11427301,Q7570062
codefor,Q11431868,Q11393156
codefor,Q11433281,Q11547389
codefor,Q11434738,Q7496287
codefor,Q11438832,Q11494340
codefor,Q11438916,Q11525653
codefor,Q11438945,Q11547389
codefor,Q11439619,Q11667408
codefor,Q11451405,Q11547390
codefor,Q11453336,Q11592620
codefor,Q11454258,Q11547386
codefor,Q11454333,Q11547385
codefor,Q11454603,Q6452106
codefor,Q11454668,Q7570062
codefor,Q11454828,Q11547390
codefor,Q11455005,Q11663241
codefor,Q11458942,Q11525659
codefor,Q11459848,Q11547389
codefor,Q11460163,Q11547384
codefor,Q11461246,Q11547387
codefor,Q11461458,Q5771187
codefor,Q11462582,Q11426787
codefor,Q11462766,Q11593331
codefor,Q11462993,Q11525658
codefor,Q11465449,Q11547386
codefor,Q11466071,Q11472351
codefor,Q11466249,Q11375292
codefor,Q11467778,Q11494352
codefor,Q11469130,Q7570062
codefor,Q11470608,Q7813806
codefor,Q11470671,Q11393157
codefor,Q11475456,Q11547385
codefor,Q11475894,Q11417481
codefor,Q11479573,Q11494348
codefor,Q11488572,Q11589210
codefor,Q11513088,Q11589207
codefor,Q11518048,Q11547390
codefor,Q11518159,Q11547387
codefor,Q11518163,Q7814046
codefor,Q11518220,Q11568324
codefor,Q11518222,Q11525656
codefor,Q11518790,Q11662289
codefor,Q11520430,Q7570062
codefor,Q11523004,Q11426793
codefor,Q11523193,Q49913
codefor,Q11535033,Q11525652
codefor,Q11536382,Q11494341
codefor,Q11542092,Q11547390
codefor,Q11544051,Q49913
codefor,Q11544282,Q11456548
