db,person,property,value
ours,Q1039717,,
ours,Q10856313,,
ours,Q1131407,,
ours,Q1132836,,
ours,Q1133136,,
ours,Q1133192,,
ours,Q1133194,,
ours,Q1133360,,
ours,Q1133880,,
ours,Q11353993,,
ours,Q11355593,,
ours,Q11355765,,
ours,Q1135729,,
ours,Q11357294,,
ours,Q11359720,,
ours,Q11360320,,
ours,Q11361823,,
ours,Q11362721,,
ours,Q11363118,,
ours,Q11364144,,
ours,Q11364418,,
ours,Q11365989,,
ours,Q11366226,,
ours,Q11366452,,
ours,Q11367646,,
ours,Q11368259,,
ours,Q11368828,,
ours,Q11373203,,
ours,Q11373245,,
ours,Q11373350,,
ours,Q11373460,,
ours,Q11373555,,
ours,Q11373633,,
ours,Q11373778,,
ours,Q11376392,,
ours,Q11376723,,
ours,Q11377131,,
ours,Q11377132,,
ours,Q11377294,,
ours,Q11378895,,
ours,Q11379447,,
ours,Q11379575,,
ours,Q11382420,,
ours,Q11384409,,
ours,Q11391317,,
ours,Q11395120,,
ours,Q11396609,,
ours,Q11397152,,
ours,Q11397382,,
ours,Q11399159,,
ours,Q11399825,,
ours,Q11400147,,
ours,Q11400194,,
ours,Q11400372,,
ours,Q11409844,,
ours,Q11411691,,
ours,Q11412937,,
ours,Q11413102,,
ours,Q11413941,,
ours,Q11414054,,
ours,Q11422694,,
ours,Q11422753,,
ours,Q11423241,,
ours,Q11425971,,
ours,Q11425985,,
ours,Q11427301,,
ours,Q11428744,,
ours,Q11431868,,
ours,Q11433281,,
ours,Q11434738,,
ours,Q11435293,,
ours,Q11437735,,
ours,Q11438832,,
ours,Q11438916,,
ours,Q11438945,,
ours,Q11439189,,
ours,Q11439619,,
ours,Q11446165,,
ours,Q11449090,,
ours,Q11450236,,
ours,Q11450883,,
ours,Q11451405,,
ours,Q11453336,,
ours,Q11454107,,
ours,Q11454258,,
ours,Q11454333,,
ours,Q11454668,,
ours,Q11454828,,
ours,Q11455005,,
ours,Q11455025,,
ours,Q11457846,,
ours,Q11458942,,
ours,Q11459848,,
ours,Q11460163,,
ours,Q11461246,,
ours,Q11461458,,
ours,Q11461866,,
ours,Q11461955,,
ours,Q11462267,,
ours,Q11462483,,
ours,Q11462582,,
ours,Q11462766,,
ours,Q11462993,,
ours,Q11463967,,
ours,Q11465449,,
ours,Q11466071,,
ours,Q11466091,,
ours,Q11466235,,
ours,Q11466249,,
ours,Q11466402,,
ours,Q11467778,,
ours,Q11467842,,
ours,Q11468075,,
ours,Q11468214,,
ours,Q11468895,,
ours,Q11469130,,
ours,Q11470238,,
ours,Q11470608,,
ours,Q11470671,,
ours,Q11470885,,
ours,Q11472782,,
ours,Q11475456,,
ours,Q11475894,,
ours,Q11477350,,
